Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,106.0,10.36,-0.04,-0.79,27110000.0,10.29,10.40,9.63,10.46,
23/02/2021 17:35:02,106.0,10.36,-0.04,-0.79,27110000.0,10.29,10.40,9.63,10.46,
23/02/2021 17:40:03,106.0,10.25,-0.15,-0.79,27110000.0,10.29,10.40,9.63,10.46,
23/02/2021 17:45:03,106.0,10.30,-0.10,-0.79,27120000.0,10.29,10.40,9.63,10.46,
23/02/2021 17:50:03,106.0,10.30,-0.10,-0.79,27120000.0,10.29,10.40,9.63,10.46,
23/02/2021 17:55:03,106.0,10.27,-0.13,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:00:03,106.0,10.30,-0.10,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:05:03,108.0,10.27,-0.13,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:10:04,108.0,10.30,-0.10,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:15:04,108.0,10.30,-0.10,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:20:03,108.0,10.32,-0.08,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:25:03,108.0,10.27,-0.13,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:30:03,108.0,10.27,-0.13,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:35:03,108.0,10.28,-0.12,-0.79,27130000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:40:04,108.0,10.25,-0.15,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:45:03,108.0,10.25,-0.15,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:50:03,108.0,10.32,-0.08,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 18:55:03,108.0,10.26,-0.14,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:00:04,108.0,10.26,-0.14,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:05:04,110.0,10.32,-0.08,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:10:04,110.0,10.30,-0.10,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:15:04,110.0,10.30,-0.10,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:20:04,110.0,10.30,-0.10,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:25:03,110.0,10.22,-0.18,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:30:04,110.0,10.23,-0.17,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:35:08,110.0,10.23,-0.17,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:40:03,110.0,10.25,-0.15,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:45:03,110.0,10.30,-0.10,-0.79,27140000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:50:03,110.0,10.30,-0.10,-0.79,27150000.0,10.29,10.40,9.63,10.46,
23/02/2021 19:55:03,110.0,10.30,-0.10,-0.79,27150000.0,10.29,10.40,9.63,10.46,
23/02/2021 20:00:03,110.0,10.30,-0.10,-0.79,27150000.0,10.29,10.40,9.63,10.46,
23/02/2021 20:05:03,112.0,10.30,-0.10,-0.79,27150000.0,10.29,10.40,9.63,10.46,
23/02/2021 20:10:03,112.0,10.30,-0.10,-0.79,27150000.0,10.29,10.40,9.63,10.46,
23/02/2021 20:15:04,112.0,10.30,-0.10,-0.79,27150000.0,10.29,10.40,9.63,10.46,
23/02/2021 20:20:03,112.0,10.30,-0.10,-0.79,27150000.0,10.29,10.40,9.63,10.46,
23/02/2021 20:25:03,112.0,10.30,-0.10,-0.79,27150000.0,10.29,10.40,9.63,10.46,
