Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 00:05:05,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:10:06,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:15:05,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:20:05,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:25:06,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:30:04,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:35:05,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:40:06,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:45:04,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:50:05,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 00:55:06,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:00:06,51.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:05:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:10:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:15:04,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:20:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:25:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:30:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:35:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:40:04,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:45:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:50:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 01:55:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:00:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:05:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:10:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:15:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:20:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:25:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:30:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:35:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:40:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:45:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:50:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 02:55:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:00:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:05:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:10:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:15:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:20:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:25:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:30:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:35:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:40:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:45:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:50:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 03:55:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:00:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:05:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:10:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:15:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:20:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:25:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:30:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:35:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:40:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:45:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:50:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 04:55:04,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:00:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:05:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:10:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:15:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:20:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:25:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:30:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:35:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:40:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:45:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:50:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 05:55:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:00:08,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:05:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:10:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:15:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:20:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:25:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:30:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:35:08,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:40:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:45:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:50:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 06:55:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:00:08,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:05:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:10:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:15:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:20:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:25:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:30:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:35:08,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:40:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:45:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:50:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 07:55:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:00:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:05:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:10:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:15:05,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:20:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:25:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:30:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:35:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:40:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:45:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:50:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 08:55:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 09:00:08,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 09:05:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 09:10:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 09:15:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 09:20:06,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 09:25:07,52.0,142.73,0.00,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 09:30:06,52.0,142.73,2.51,4.10,260.99,140.0,142.73,137.53,144.0,
25/02/2021 09:35:07,52.0,142.44,-0.29,-0.84,2.25,142.55,142.73,142.26,142.56,
25/02/2021 09:40:06,52.0,142.44,-0.29,-0.19,2.25,142.55,142.73,142.26,142.56,
25/02/2021 09:45:07,52.0,143.96,1.23,0.19,4.91,142.55,142.73,142.26,144.3175,
25/02/2021 09:50:07,52.0,144.95,2.22,-0.71,7.71,142.55,142.73,142.26,144.95,
25/02/2021 09:55:06,52.0,146.44,3.71,-1.61,11.7,142.55,142.73,142.26,146.44,
25/02/2021 10:00:09,52.0,146.25,3.52,-3.03,13.51,142.55,142.73,142.26,146.44,
25/02/2021 10:05:08,52.0,145.37,2.64,-3.16,36,142.55,142.73,142.26,146.44,
25/02/2021 10:10:06,52.0,144.78,2.05,-3.03,52.44,142.55,142.73,142.26,146.44,
25/02/2021 10:15:07,52.0,144.78,2.05,-3.03,53.43,142.55,142.73,142.26,146.44,
