Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 02:05:04,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:10:05,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:15:05,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:20:04,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:25:04,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:30:04,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:35:04,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:40:04,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:45:03,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:50:05,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 02:55:05,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:00:04,53.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:05:04,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:10:04,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:15:05,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:20:04,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:25:04,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:30:05,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:35:03,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:40:04,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:45:03,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:50:04,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 03:55:04,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:00:05,57.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:05:04,61.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:10:04,61.0,336.98,0.67,0.20,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:15:04,61.0,337.59,1.28,0.38,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:20:04,61.0,337.59,1.28,0.38,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:25:04,61.0,337.59,1.28,0.38,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:30:04,61.0,336.31,0.00,0.00,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:35:04,61.0,336.31,0.00,0.00,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:40:04,61.0,336.31,0.00,0.00,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:45:04,61.0,336.31,0.00,0.00,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:50:04,61.0,336.31,0.00,0.00,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 04:55:05,61.0,337.00,0.69,0.21,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:00:05,61.0,337.00,0.69,0.21,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:05:04,65.0,337.00,0.69,0.21,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:10:04,65.0,337.00,0.69,0.21,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:15:04,65.0,337.00,0.69,0.21,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:20:04,65.0,337.00,0.69,0.21,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:25:04,65.0,340.00,3.69,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:30:05,65.0,340.00,3.69,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:35:04,65.0,340.02,3.71,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:40:03,65.0,340.02,3.71,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:45:04,65.0,340.02,3.71,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:50:04,65.0,340.02,3.71,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 05:55:04,65.0,340.00,3.69,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:00:06,65.0,340.00,3.69,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:05:05,69.0,340.00,3.69,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:10:04,69.0,341.00,4.69,1.39,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:15:05,69.0,341.00,4.69,1.39,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:20:04,69.0,341.00,4.69,1.39,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:25:05,69.0,341.00,4.69,1.39,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:30:04,69.0,341.00,4.69,1.39,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:35:05,69.0,341.50,5.19,1.54,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:40:05,69.0,341.50,5.19,1.54,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:45:05,69.0,341.50,5.19,1.54,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:50:05,69.0,341.50,5.19,1.54,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 06:55:04,69.0,341.50,5.19,1.54,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:00:05,69.0,341.50,5.19,1.54,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:05:04,72.0,341.52,5.19,1.55,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:10:05,72.0,340.00,3.69,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:15:04,72.0,340.00,3.69,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:20:05,72.0,340.00,3.69,1.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:25:05,72.0,339.00,2.69,0.80,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:30:04,72.0,341.99,5.68,1.69,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:35:05,72.0,341.99,5.68,1.69,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:40:05,72.0,341.57,5.26,1.56,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:45:06,72.0,341.57,5.26,1.56,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:50:05,72.0,341.99,5.68,1.69,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 07:55:04,72.0,341.99,5.68,1.69,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:00:06,72.0,342.83,6.52,1.94,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:05:04,74.0,341.35,5.04,1.50,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:10:05,74.0,341.35,5.04,1.50,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:15:05,74.0,342.70,6.39,1.90,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:20:05,74.0,342.70,6.39,1.90,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:25:04,74.0,342.05,5.74,1.71,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:30:05,74.0,341.88,5.57,1.66,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:35:05,74.0,342.69,6.38,1.90,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:40:05,74.0,342.70,6.39,1.90,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:45:06,74.0,342.70,6.39,1.90,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:50:05,74.0,340.22,3.91,1.16,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 08:55:04,74.0,340.21,3.90,1.16,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:00:06,74.0,337.00,0.69,0.21,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:05:05,75.0,335.99,-0.32,-0.10,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:10:05,75.0,335.90,-0.41,-0.12,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:15:05,75.0,336.00,-0.31,-0.09,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:20:06,75.0,336.00,-0.31,-0.09,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:25:05,75.0,334.86,-1.45,-0.43,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:30:05,75.0,336.31,-13.60,-3.89,4160000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:35:05,75.0,335.53,-14.39,-4.11,4180000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:40:04,75.0,329.14,-20.77,-5.94,4200000.0,332.57,336.31,310.34,337.88,
24/02/2021 09:45:06,75.0,328.10,-8.21,-2.44,85.8,335.22,336.31,325.1261,335.97,
24/02/2021 09:50:05,75.0,331.73,-4.58,-1.36,102.08,335.22,336.31,325.1261,335.97,
24/02/2021 09:55:06,75.0,330.98,-5.33,-1.59,150.97,335.22,336.31,325.1261,335.97,
24/02/2021 10:00:07,75.0,328.05,-8.26,-2.46,187.63,335.22,336.31,325.1261,335.97,
24/02/2021 10:05:06,76.0,325.97,-10.34,-3.08,217.18,335.22,336.31,325.1261,335.97,
24/02/2021 10:10:07,76.0,325.61,-10.71,-3.18,251.19,335.22,336.31,324.01,335.97,
