Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 04:05:08,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:10:06,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:15:08,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:20:07,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:25:06,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:30:07,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:35:07,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:40:05,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:45:06,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:50:21,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 04:55:12,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:00:35,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:05:10,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:10:11,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:15:09,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:20:08,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:25:09,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:30:09,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:35:08,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:40:09,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:45:11,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:50:09,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 05:55:11,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 06:00:14,50.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 06:05:09,51.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 06:10:10,51.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 06:15:08,51.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 06:20:09,51.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 06:25:08,51.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
27/02/2021 06:30:08,51.0,320.00,1.08,0.34,82.9,322.0,318.92,316.78,326.81,
