Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 23:05:07,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:10:07,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:15:07,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:20:07,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:25:09,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:30:09,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:35:08,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:40:08,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:45:08,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:50:09,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
27/02/2021 23:55:06,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:00:08,51.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:05:07,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:10:07,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:15:07,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:20:08,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:25:07,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:30:07,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:35:07,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:40:06,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:45:09,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:50:07,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 00:55:09,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:00:10,52.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:05:10,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:10:07,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:15:08,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:20:10,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:25:10,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:30:09,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:35:07,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:40:08,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:45:07,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:50:07,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 01:55:07,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 02:00:08,56.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
28/02/2021 02:05:06,60.0,73.00,-0.58,-0.79,4060000.0,72.56,73.58,70.7001,74.2992,
