Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 08:05:09,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:10:10,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:15:11,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:20:09,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:25:09,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:30:08,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:35:10,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:40:09,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:45:10,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:50:09,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 08:55:09,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:00:15,50.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:05:10,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:10:11,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:15:09,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:20:10,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:25:10,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:30:09,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:35:08,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:40:10,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:45:10,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:50:10,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 09:55:11,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:00:14,51.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:05:08,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:10:09,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:15:09,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:20:08,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:25:11,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:30:11,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:35:09,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:40:09,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:45:09,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:50:08,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 10:55:10,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:00:10,52.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:05:16,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:10:08,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:15:11,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:20:11,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:25:09,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:30:10,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:35:08,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:40:11,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:45:08,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:50:10,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 11:55:10,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:00:11,53.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:05:10,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:10:10,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:15:08,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:20:09,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:25:08,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:30:09,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:35:11,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:40:08,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:45:10,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:50:10,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 12:55:11,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:00:12,54.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:05:09,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:10:11,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:15:08,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:20:10,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:25:09,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:30:09,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:35:09,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:40:09,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:45:11,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:50:07,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
28/02/2021 13:55:10,55.0,7.39,-0.02,0.92,3530000.0,7.41,7.41,7.18,7.55,
