Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 11:50:06,50.0,120.18,-1.06,0.29,558.48,121.45,121.24,119.01,121.45,
26/02/2021 11:55:09,50.0,120.17,-1.07,0.38,563.63,121.45,121.24,119.01,121.45,
26/02/2021 12:00:10,50.0,119.86,-1.38,0.13,567.66,121.45,121.24,119.01,121.45,
26/02/2021 12:05:06,51.0,119.99,-1.26,-0.04,574.19,121.45,121.24,119.01,121.45,
26/02/2021 12:10:06,51.0,120.02,-1.22,0.00,581.86,121.45,121.24,119.01,121.45,
26/02/2021 12:15:08,51.0,120.05,-1.20,0.04,589.73,121.45,121.24,119.01,121.45,
26/02/2021 12:20:08,51.0,119.77,-1.47,-0.15,600.22,121.45,121.24,119.01,121.45,
26/02/2021 12:25:07,51.0,119.81,-1.43,-0.21,610.96,121.45,121.24,119.01,121.45,
26/02/2021 12:30:07,51.0,119.98,-1.26,-0.09,617.74,121.45,121.24,119.01,121.45,
26/02/2021 12:35:06,51.0,119.82,-1.42,-0.01,626.68,121.45,121.24,119.01,121.45,
26/02/2021 12:40:06,51.0,119.59,-1.65,-0.12,635.44,121.45,121.24,119.01,121.45,
26/02/2021 12:45:07,51.0,119.77,-1.47,0.11,640.51,121.45,121.24,119.01,121.45,
26/02/2021 12:50:06,51.0,119.60,-1.64,0.13,650.65,121.45,121.24,119.01,121.45,
26/02/2021 12:55:05,51.0,119.33,-1.91,-0.04,661.56,121.45,121.24,119.01,121.45,
26/02/2021 13:00:08,51.0,119.16,-2.08,-0.04,667.31,121.45,121.24,119.01,121.45,
26/02/2021 13:05:08,52.0,119.19,-2.05,-0.13,672.75,121.45,121.24,119.01,121.45,
26/02/2021 13:10:07,52.0,119.16,-2.08,-0.29,679.71,121.45,121.24,119.01,121.45,
26/02/2021 13:15:08,52.0,119.14,-2.10,-0.31,685.93,121.45,121.24,118.99,121.45,
26/02/2021 13:20:06,52.0,119.37,-1.88,-0.22,691.39,121.45,121.24,118.99,121.45,
26/02/2021 13:25:06,52.0,119.33,-1.91,-0.31,697.6,121.45,121.24,118.99,121.45,
26/02/2021 13:30:06,52.0,119.25,-1.99,-0.36,705.81,121.45,121.24,118.99,121.45,
26/02/2021 13:35:07,52.0,119.22,-2.02,-0.36,709.97,121.45,121.24,118.99,121.45,
26/02/2021 13:40:08,52.0,119.24,-2.00,-0.38,716.49,121.45,121.24,118.99,121.45,
26/02/2021 13:45:07,52.0,119.22,-2.02,-0.42,722.57,121.45,121.24,118.99,121.45,
26/02/2021 13:50:06,52.0,118.89,-2.35,-0.71,727.61,121.45,121.24,118.89,121.45,
26/02/2021 13:55:05,52.0,118.85,-2.39,-0.69,734.69,121.45,121.24,118.83,121.45,
26/02/2021 14:00:07,52.0,118.71,-2.53,-0.53,739.75,121.45,121.24,118.71,121.45,
26/02/2021 14:05:03,53.0,118.81,-2.43,-0.62,752.19,121.45,121.24,118.71,121.45,
26/02/2021 14:10:06,53.0,118.56,-2.68,-0.73,757.37,121.45,121.24,118.55,121.45,
26/02/2021 14:15:04,53.0,118.35,-2.89,-0.94,768.67,121.45,121.24,118.35,121.45,
26/02/2021 14:20:05,53.0,118.28,-2.96,-1.02,780.45,121.45,121.24,118.24,121.45,
26/02/2021 14:25:05,53.0,118.46,-2.79,-0.76,788.57,121.45,121.24,118.19,121.45,
26/02/2021 14:30:07,53.0,118.36,-2.88,-0.89,797.57,121.45,121.24,118.19,121.45,
26/02/2021 14:35:05,53.0,118.26,-2.98,-0.96,807.12,121.45,121.24,118.19,121.45,
26/02/2021 14:40:07,53.0,118.21,-3.03,-0.98,818.14,121.45,121.24,118.18,121.45,
26/02/2021 14:45:05,53.0,118.06,-3.18,-1.07,825.94,121.45,121.24,118.06,121.45,
26/02/2021 14:50:05,53.0,118.22,-3.02,-1.02,836,121.45,121.24,118.06,121.45,
26/02/2021 14:55:05,53.0,118.00,-3.24,-1.16,844.85,121.45,121.24,118.0,121.45,
26/02/2021 15:00:06,53.0,117.85,-3.39,-1.30,858.6,121.45,121.24,117.85,121.45,
26/02/2021 15:05:06,54.0,117.93,-3.31,-1.11,873.36,121.45,121.24,117.83,121.45,
26/02/2021 15:10:06,54.0,118.04,-3.20,-0.94,891,121.45,121.24,117.83,121.45,
26/02/2021 15:15:05,54.0,118.01,-3.24,-0.83,906.28,121.45,121.24,117.83,121.45,
26/02/2021 15:20:07,54.0,118.22,-3.02,-0.74,923.36,121.45,121.24,117.83,121.45,
26/02/2021 15:25:06,54.0,118.27,-2.97,-0.93,936.98,121.45,121.24,117.83,121.45,
26/02/2021 15:30:06,54.0,118.26,-2.98,-1.09,960.48,121.45,121.24,117.83,121.45,
26/02/2021 15:35:06,54.0,117.98,-3.26,-1.24,978,121.45,121.24,117.83,121.45,
26/02/2021 15:40:06,54.0,117.87,-3.37,-1.36,999,121.45,121.24,117.8025,121.45,
26/02/2021 15:45:07,54.0,118.15,-3.10,-1.13,1020000.0,121.45,121.24,117.8025,121.45,
26/02/2021 15:50:06,54.0,118.34,-2.90,-1.14,1050000.0,121.45,121.24,117.8025,121.45,
26/02/2021 15:55:06,54.0,118.16,-3.09,-1.52,1100000.0,121.45,121.24,117.8,121.45,
26/02/2021 16:10:05,55.0,117.00,-0.57,-1.91,1280000.0,121.45,117.57,117.57,121.45,
26/02/2021 16:15:06,55.0,117.72,0.15,-1.74,1340000.0,121.45,117.73,117.67,121.45,
26/02/2021 16:20:06,55.0,117.72,0.15,-1.73,1340000.0,121.45,117.73,117.67,121.45,
26/02/2021 16:25:06,55.0,117.72,0.00,-1.73,1700000.0,121.45,117.72,117.67,121.45,
26/02/2021 16:30:05,55.0,117.72,0.00,-1.73,1700000.0,121.45,117.72,117.67,121.45,
26/02/2021 16:35:06,55.0,117.72,0.00,-1.73,1700000.0,121.45,117.72,117.67,121.45,
26/02/2021 16:40:06,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 16:45:06,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 16:50:06,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 16:55:05,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:00:07,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:05:06,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:10:06,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:15:06,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:20:06,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:25:07,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:30:06,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:35:16,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:40:08,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:45:17,55.0,117.72,0.00,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:50:08,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 17:55:08,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:00:10,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:05:10,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:10:07,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:15:07,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:20:06,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:25:08,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:30:07,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:35:09,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:40:08,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:45:12,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:50:07,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 18:55:09,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:00:13,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:05:09,55.0,118.50,0.78,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:10:10,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:15:13,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:20:09,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:25:07,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:30:08,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:35:13,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:40:09,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:45:10,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:50:08,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 19:55:08,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 20:00:11,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 20:05:13,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 20:10:09,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 20:15:10,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
26/02/2021 20:20:12,55.0,118.48,0.76,-1.73,1710000.0,121.45,117.72,117.67,121.45,
