Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 05:05:07,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:10:10,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:15:09,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:20:09,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:25:08,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:30:08,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:35:08,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:40:09,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:45:07,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:50:07,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 05:55:08,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:00:09,50.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:05:07,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:10:07,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:15:08,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:20:09,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:25:10,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:30:08,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:35:06,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:40:11,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:45:08,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:50:07,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 06:55:07,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 07:00:14,52.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 07:05:08,54.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 07:10:08,54.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 07:15:07,54.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
28/02/2021 07:20:08,54.0,39.47,0.00,0.00,68.79,40.12,39.47,37.77,41.1195,
