Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 09:05:07,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:10:08,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:15:08,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:20:05,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:25:07,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:30:08,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:35:03,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:40:05,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:45:05,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:50:03,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 09:55:09,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:00:03,53.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:05:07,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:10:08,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:15:09,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:20:05,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:25:04,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:30:09,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:35:08,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:40:08,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:45:08,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:50:09,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 10:55:04,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:00:06,54.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:05:10,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:10:08,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:15:06,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:20:07,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:25:07,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:30:07,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:35:07,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:40:06,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:45:07,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:50:07,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 11:55:06,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 12:00:09,55.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
27/02/2021 12:05:05,58.0,37.32,0.09,0.24,20030000.0,35.75,37.23,35.0,39.44,
